nome;sku;descricao;quantidade;preco;categoria
Olanzapine;0904-6286;Occlusion of Lower Artery with Extraluminal Device, Percutaneous Approach;90;541.32;Comedy
Patricia Wexler Universal Anti-Aging Moisturizer with Sunscreen Broad Spectrum SPF 28;62670-8043;Insertion of Intraluminal Device into Right External Jugular Vein, Percutaneous Approach;84;7806.12;Action|Drama|War
Nortriptyline Hydrochloride;0093-0813;Reposition Right Maxilla with Internal Fixation Device, Open Approach;93;7338.0;
Pepper Tree Pollen;36987-2937;Revision of Nonautologous Tissue Substitute in Left Tympanic Membrane, Via Natural or Artificial Opening;41;2587.86;Horror
ENALAPRIL MALEATE AND HYDROCHLOROTHIAZIDE;54868-5503;Excision of Left Upper Femur, Percutaneous Approach, Diagnostic;94;9850.54;Comedy|Drama
MooreBrand Ibuprofen;55670-133;Reposition Left Humeral Shaft with Ring External Fixation Device, Percutaneous Endoscopic Approach;13;2899.09;Animation|Children|Comedy
thrombin human;63713-461;Revision of Autologous Tissue Substitute in Cranial Nerve, Percutaneous Endoscopic Approach;33;4613.44;Comedy
Nicorette;0135-0466;Bypass Right Internal Jugular Vein to Upper Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach;43;3628.57;Drama
Insomnia Plus;57520-0611;Replacement of Left Atrium with Zooplastic Tissue, Open Approach;5;943.36;Comedy|Fantasy
Atenolol;68382-022;Restriction of Inferior Vena Cava with Extraluminal Device, Open Approach;56;5520.7;Documentary
TAMSULOSIN HYDROCHLORIDE;0904-6156;Revision of Drainage Device in Thoracic Duct, Percutaneous Endoscopic Approach;36;2038.41;Action|Drama
Ceftriaxone;68330-004;Excision of Left Knee Joint, Percutaneous Endoscopic Approach;30;2293.48;Action|Horror|Mystery|Thriller
Sildenafil;0179-0160;Reposition Right Upper Leg Tendon, Percutaneous Endoscopic Approach;65;9489.9;Adventure|Animation|Fantasy|Sci-Fi
Linkus Lozenges;44237-005;Reposition Right Mandible with Internal Fixation Device, Open Approach;30;6418.99;Drama
Clear Complexion Toner;57627-102;Computerized Tomography (CT Scan) of Intracranial Sinuses using Other Contrast, Unenhanced and Enhanced;72;8713.97;Comedy|Drama
Levofloxacin;55648-547;Replacement of Neck Skin with Nonautologous Tissue Substitute, Full Thickness, External Approach;77;6323.41;Action|Crime|Mystery|Sci-Fi|Thriller
Pantoprazole Sodium;52125-966;Removal of Infusion Device from Right Hip Joint, Percutaneous Approach;47;2234.7;Drama|Romance
C-Plus;54973-7505;Creation of Vagina in Male Perineum with Nonautologous Tissue Substitute, Open Approach;15;9397.27;Documentary
Strophanthus Aurum Special Order;48951-8250;Drainage of Jejunum, Open Approach;33;5806.77;Comedy|Drama|Romance
DR. S. WONGS ACNE TREATMENT SULPHUR;58929-300;Bypass Left Ureter to Left Ureter with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;44;5114.09;Drama
Cardizem LA;0187-2046;Bypass Right Common Carotid Artery to Right Extracranial Artery, Open Approach;20;2238.28;Drama|Romance
Gallbladder Liver Meridian Formula;43742-0175;Dilation of Left Brachial Artery, Percutaneous Approach;94;3679.45;Action|Drama
MVC-Fluoride;44946-1021;Bypass Right Internal Iliac Artery to Foot Artery, Percutaneous Endoscopic Approach;36;3225.74;Drama|War
Aricept;54868-4245;Imaging, Ear, Nose, Mouth and Throat, Plain Radiography;18;6346.06;Documentary
citroma;50804-686;Repair Cisterna Chyli, Percutaneous Approach;85;621.88;Animation
Precedex;0409-1638;Revision of Autologous Tissue Substitute in Lower Intestinal Tract, External Approach;45;5334.66;Documentary
Lidocaine Hydrochloride;55154-2371;Supplement Right Cephalic Vein with Autologous Tissue Substitute, Percutaneous Approach;39;868.81;Thriller
Australian Gold;13630-0026;Drainage of Left Foot Tendon with Drainage Device, Open Approach;76;3375.87;Comedy|Drama
Trichophyton Mixture;49288-0576;Replacement of Right Lower Leg Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach;28;4822.51;
Risperidone;63304-951;Drainage of Vagina, Percutaneous Approach;64;5113.43;Action|Drama
Kadian;54868-4573;Repair Perineum Bursa and Ligament, Percutaneous Endoscopic Approach;88;4676.96;Drama
Nu Skin Sunright 50 Broad Spectrum SPF 50;62839-1345;Bypass Left Internal Iliac Artery to Right External Iliac Artery with Autologous Venous Tissue, Open Approach;90;7815.47;Children|Comedy
Maxiphen DM;58605-423;Insertion of Infusion Device into Left Wrist Joint, Percutaneous Approach;84;3664.33;Drama|Romance
Lorazepam;55154-3826;Revision of Infusion Device in Right Ankle Joint, Percutaneous Endoscopic Approach;71;5019.12;Drama|Musical
Nu Skin Nu Colour;62839-1102;Drainage of Right Eustachian Tube with Drainage Device, Via Natural or Artificial Opening Endoscopic;24;1353.53;Action|Crime|Drama|Thriller
TENUE DE PERFECTION TIMEPROOF FOUNDATION WITH SUNSCREEN ULTIMATE LASTING PERFECTION BROAD SPECTRUM SPF 20 12 ROSE CLAIR;49817-0071;Excision of Left Pelvic Bone, Percutaneous Approach;8;8176.75;Action|Mystery|Sci-Fi
Everyday Facial Moisturizer And Sunscreen SPF 20;76230-727;Removal of Stimulator Lead from Upper Artery, External Approach;76;9967.27;Documentary
Ciprofloxacin;52959-739;Resection of Left Lower Lobe Bronchus, Open Approach;94;244.28;Crime|Drama|Thriller
Sulfamethoxazole and Trimethoprim;65862-496;Reattachment of Uvula, Open Approach;23;9209.2;Action|Comedy
Hand Sanitizer;68957-1092;Bypass Left Axillary Artery to Bilateral Lower Arm Artery with Synthetic Substitute, Open Approach;43;544.28;Drama
Rolaids Regular Strength- Cherry;41167-1006;Removal of Autologous Tissue Substitute from Left Radius, Open Approach;26;199.66;Drama
Cyzone;13537-300;Removal of Autologous Tissue Substitute from Upper Intestinal Tract, Via Natural or Artificial Opening;52;5894.17;Comedy
Methocarbamol;55154-1499;Replacement of Left External Ear with Autologous Tissue Substitute, Open Approach;35;1493.81;Drama|Horror
health mart allergy complete;62011-0054;Contact Radiation of Pelvic Bones;38;7057.76;Comedy|Romance
Australian Gold;58443-0030;Removal of Synthetic Substitute from Upper Tendon, Percutaneous Approach;57;4763.71;Comedy
CVS Simple Care Protective Rash;59779-142;Bypass Left Ventricle to Abdominal Artery, Open Approach;37;3694.84;Animation|Comedy|Fantasy|Sci-Fi
Topcare Antacid;36800-851;Change Other Device in Diaphragm, External Approach;4;9498.67;Drama|Romance
Naproxen;16590-163;Imaging, Urinary System, Plain Radiography;30;388.56;Drama|War
Marcaine;52125-249;Destruction of Left Neck Lymphatic, Percutaneous Approach;4;2334.78;Comedy|Drama
NAUSEA;64117-299;Supplement Bladder with Autologous Tissue Substitute, Open Approach;36;6318.79;Crime|Drama
Theochem Foaming Hand Sanitizer;68878-118;Beam Radiation of Thymus using Electrons;92;6334.45;Horror|Thriller
DG BODY;55910-724;Bypass Left External Iliac Artery to Right Femoral Artery, Open Approach;77;2474.97;Adventure|Children
Atopalm Acne Controlling;51141-7000;Replacement of Right Sacroiliac Joint with Autologous Tissue Substitute, Open Approach;83;3977.36;Comedy
Allergy Relief;55301-190;Change Brace on Left Upper Arm;56;4046.39;Western
24-Hour All Day Allergy;62011-0052;Drainage of Lingula Bronchus with Drainage Device, Via Natural or Artificial Opening;4;8615.28;Action|Adventure|Drama|Fantasy|Horror|Romance|Sci-Fi
Childrens Ibuprofen;55319-125;Extirpation of Matter from Left Nipple, Via Natural or Artificial Opening;78;9020.04;Western
Adult Long Lasting-Cough Relief;68016-026;Dilation of Right Hand Artery with Drug-eluting Intraluminal Device, Open Approach;42;754.86;Drama
Promethazine with Codeine;49999-152;Supplement Soft Palate with Nonautologous Tissue Substitute, Open Approach;47;2731.79;Comedy
Warfarin Sodium;65841-059;Removal of Synthetic Substitute from Right Tarsal Joint, Percutaneous Approach;31;2197.96;Drama|Thriller
Careone Extra Strength Cold and Hot;41520-871;Detachment at Left 2nd Toe, Mid, Open Approach;47;2408.03;Drama
Risperidone;62756-633;Extirpation of Matter from Paraganglion Extremity, Percutaneous Approach;56;9499.76;Drama
FENTANYL CITRATE;52533-024;Destruction of Right Lower Lung Lobe, Open Approach;6;490.87;Horror|Sci-Fi
BECONASE;54569-1729;Destruction of Cervix, Via Natural or Artificial Opening;6;7559.72;Documentary
ISOSORBIDE DINITRATE;57664-600;Resection of Right Hand Muscle, Open Approach;8;2352.24;Action|Drama|War
GEMCITABINE;47335-153;Excision of Ileum, Via Natural or Artificial Opening Endoscopic, Diagnostic;64;8708.83;Comedy|Romance
dg health all day allergy;55910-458;Supplement Bilateral Seminal Vesicles with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;74;8775.69;Drama
Divalproex Sodium;51079-474;High Dose Rate (HDR) Brachytherapy of Ileum using Californium 252 (Cf-252);54;6469.45;Documentary
Topiramate;59115-124;Traction of Left Toe using Traction Apparatus;9;7337.28;Drama
Duet DHA;76331-810;Bypass Thoracic Aorta, Ascending/Arch to Left Pulmonary Artery, Percutaneous Endoscopic Approach;65;9048.96;Comedy|Drama
Gabapentin;49349-924;Supplement Left Breast with Nonautologous Tissue Substitute, External Approach;29;6797.47;Action|Crime|Drama|Thriller
Hydrocortisone Maximum Strength Plus 12 Moisturizers;30142-341;Replacement of Left Thyroid Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;89;1235.39;Action|Adventure
Ticlopidine hydrochloride;60505-0027;Occlusion of Left Radial Artery, Percutaneous Approach;28;3751.36;Action|Adventure|Sci-Fi
Metformin Hydrochloride;51655-561;Supplement Lower Lip with Autologous Tissue Substitute, External Approach;81;934.86;Drama|Thriller
ROBITUSSIN NIGHT TIME COUGH AND COLD;0031-8698;Fusion of Left Finger Phalangeal Joint with Autologous Tissue Substitute, Percutaneous Approach;33;4243.33;Comedy
Olive Pollen;36987-2903;Supplement Right Fibula with Synthetic Substitute, Percutaneous Endoscopic Approach;79;9880.04;Drama|Romance
Furosemide;52584-052;Bypass Right Subclavian Artery to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach;3;1966.35;Western
BRIGHTER BY NATURE SPF 30 CORRECTING MAKEUP BROAD SPECTRUM;59427-009;Transfusion of Nonautologous Hematopoietic Stem Cells into Peripheral Artery, Open Approach;26;7105.18;Comedy|Drama
Sulfamylon;51079-623;Removal of Radioactive Element from Vagina and Cul-de-sac, Via Natural or Artificial Opening Endoscopic;4;6607.42;Drama
Flawless Effect Liquid Foundation SPF 15;57627-113;Revision of Feeding Device in Lower Intestinal Tract, Percutaneous Endoscopic Approach;88;3415.98;Comedy|Drama|Romance
NightTime Cold and Flu;59995-001;Bypass Right External Iliac Vein to Lower Vein with Autologous Arterial Tissue, Open Approach;87;7612.78;Comedy
Glipizide;61786-043;Excision of Left Adrenal Gland, Open Approach;37;38.23;Horror
Inderal;24090-473;Supplement Hyoid Bone with Nonautologous Tissue Substitute, Open Approach;78;3282.32;Action|Adventure|Thriller
Little Fevers Childrens Fever Pain Reliever;63029-603;Restriction of Right Axillary Lymphatic with Intraluminal Device, Open Approach;56;1909.14;Comedy|Documentary
Pollens - Weeds, Kochia scoparia;65044-1781;Replacement of Left Elbow Joint with Autologous Tissue Substitute, Open Approach;32;5663.26;Comedy|Drama
Tolnaftate;11673-586;Supplement Right Humeral Head with Autologous Tissue Substitute, Percutaneous Approach;36;8013.76;Drama
PREDNISONE;16590-624;Extirpation of Matter from Oculomotor Nerve, Open Approach;31;2709.53;Crime|Drama|Film-Noir
Psoriasin;52389-627;Removal of Cast on Left Lower Leg;52;2782.68;Crime|Drama
Bicalutamide;60429-226;Plain Radiography of Bilateral Vertebral Arteries using Other Contrast;22;6994.42;Documentary
Fludarabine;63323-196;Beam Radiation of Pineal Body using Photons >10 MeV;84;9329.79;
Indomethacin;52125-716;Excision of Right Vocal Cord, Open Approach;97;6389.55;Action|Comedy|Crime|Thriller
Rocky Mountain Juniper;36987-2704;Supplement Right Tarsal Joint with Nonautologous Tissue Substitute, Percutaneous Approach;44;6827.63;Documentary|Musical
ALOEGUARD ANTIMICROBIAL;63843-509;Revision of Internal Fixation Device in Lumbar Vertebra, Open Approach;83;5660.12;Documentary
Homeopathic Hemorrhoid;10578-017;Drainage of Left Upper Eyelid, Open Approach, Diagnostic;48;4645.08;Drama|Mystery|Thriller
acid reducer 150;21130-950;Reposition Left Upper Eyelid, External Approach;21;7934.52;Drama
ARNICAID;54973-0229;Drainage of Right Temporal Artery, Percutaneous Approach, Diagnostic;89;515.92;Comedy
Nasal;0113-2304;Contact Radiation of Rib(s);100;8565.82;Comedy
Caduet;54868-3287;Release Right Neck Muscle, External Approach;23;8719.92;
Oxcarbazepine;49349-688;Occlusion of Left Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach;17;2241.85;Documentary
moisturising sunscreen;42315-672;Restriction of Thorax Lymphatic, Open Approach;24;4400.52;Adventure|Comedy|Romance
PredniSONE;0615-6516;Reattachment of Lower Tooth, Single, Open Approach;88;4738.25;Action|Crime|Thriller
Naratriptan;0093-8523;Supplement Sternum with Synthetic Substitute, Open Approach;67;4235.58;Drama
Ginseng Khan;42707-3001;Revision of External Fixation Device in Left Metacarpocarpal Joint, External Approach;27;6979.2;Action|Crime|Thriller
ULTRASOL;59886-304;Revision of Monitoring Device in Peripheral Nerve, External Approach;56;1533.4;Horror
triamcinolone acetonide;42254-176;Excision of Left Extraocular Muscle, Open Approach;35;3443.29;Comedy
Ropinirole;0054-0122;Transfer Scalp Subcutaneous Tissue and Fascia with Skin and Subcutaneous Tissue, Percutaneous Approach;91;582.58;Adventure|Children|Drama|Fantasy
citalopram hydrobromide;53808-1038;Restriction of Mesenteric Lymphatic with Extraluminal Device, Open Approach;92;2647.62;Comedy|Crime|Drama|Romance
Calcarea Carbonic 30c;76472-1136;Restriction of Right Axillary Artery with Extraluminal Device, Percutaneous Approach;68;1405.96;Comedy|Drama
LACURA;64024-969;Excision of Right Upper Leg Muscle, Percutaneous Approach;5;6075.2;Drama|Film-Noir|Mystery
Glytone acne treatment facial cleanser;64760-219;Dilation of Left Foot Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach;100;3521.56;Children|Drama
Diamond White Brightening Shield Treatment Cream;63730-292;Bypass Left Common Iliac Vein to Lower Vein with Nonautologous Tissue Substitute, Open Approach;14;7944.4;Action|Drama|War
Sulfamethoxazole and Trimethoprim;0093-0089;Revision of Spacer in Occipital-cervical Joint, Percutaneous Approach;95;8099.08;Action|Adventure|Fantasy|Sci-Fi
Lemon Quince Allergy Relief;48951-6024;Reposition Cecum, External Approach;24;7174.77;Drama
RANITIDINE;68084-577;Systemic Nuclear Medicine Therapy of Whole Body using Phosphorus 32 (P-32);52;6504.21;Comedy|Drama|Romance
Lisinopril;0603-4214;Computerized Tomography (CT Scan) of Bilateral Eyes;98;2208.34;(no genres listed)
MS Contin;59011-260;Insertion of Cardiac Lead into Right Atrium, Percutaneous Endoscopic Approach;81;3892.85;Action|Adventure
Freshorize;52305-200;Dilation of Anus with Intraluminal Device, Percutaneous Endoscopic Approach;100;196.98;Comedy|Drama|Fantasy|Romance
INSOMNIA RELIEF;60512-0011;Removal of Monitoring Device from Bladder, Percutaneous Endoscopic Approach;36;7388.47;Comedy|Drama
JAKAFI;50881-025;Fluoroscopy of Epidural Veins using Low Osmolar Contrast, Guidance;29;1838.53;Drama
ClindaMax Lotion;0462-0391;Lymphatic and Hemic Systems, Destruction;1;4421.56;Crime|Mystery|Thriller
Cyclo/Mag 10mg/200mg;64038-630;Insertion of External Fixation Device into Right Upper Femur, Percutaneous Approach;96;4912.7;Drama|Horror|Thriller
Atenolol;62584-467;Removal of Nonautologous Tissue Substitute from Facial Bone, Percutaneous Approach;69;4537.26;Comedy|Drama
Natural FX;68327-002;Insertion of Hybrid External Fixation Device into Left Ulna, Percutaneous Approach;87;9278.38;Crime|Mystery|Thriller
Exelon;54868-5240;Destruction of Right Superior Parathyroid Gland, Percutaneous Approach;80;552.76;Crime|Drama
Walgreens Anti-Sagging and Ultra Hydrating Day Broad Spectrum SPF15 Sunscreen;0363-9688;Release Thorax Lymphatic, Open Approach;69;1890.73;Drama
Podophyllum Pelt Kit Refill;68428-156;Occlusion of Left Internal Mammary Artery with Extraluminal Device, Percutaneous Approach;96;7870.0;Crime|Horror|Thriller
Teething - Colic;55714-1709;Repair Left Upper Leg Tendon, Percutaneous Endoscopic Approach;28;7739.79;Horror
Folbic;0615-7575;Extirpation of Matter from Left External Auditory Canal, External Approach;57;8278.48;Comedy|Drama
Chewable Adult Low Dose Aspirin;68163-081;Laser Interstitial Thermal Therapy of Anus;99;7290.1;Comedy|Sci-Fi
Oxy Maximum Action Spot Treatment;10742-8301;Extirpation of Matter from Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach;6;853.66;Comedy
Anti-Bacterial Hand;62670-4833;Insertion of Intraluminal Device into Right Common Iliac Vein, Percutaneous Endoscopic Approach;19;2941.38;Drama
Guaifenesin and Codeine Phosphate;68258-8904;Revision of Nonautologous Tissue Substitute in Upper Bursa and Ligament, Percutaneous Approach;58;2224.89;Drama|Romance
Assured Gas Relief Extra Strength;33992-0113;Supplement Right Elbow Region with Nonautologous Tissue Substitute, Open Approach;26;6549.86;Drama|Romance
Terrestristat;44911-0087;Destruction of Left Thumb Phalanx, Percutaneous Endoscopic Approach;74;4189.63;Action|Comedy|Horror|Sci-Fi
Acyclovir;63629-1677;Supplement Right Radial Artery with Autologous Tissue Substitute, Open Approach;26;1921.45;Crime|Drama
MEDI-FIRST PLUS Ibuprofen;47682-929;Transfer Left Abdomen Muscle with Skin and Subcutaneous Tissue, Percutaneous Endoscopic Approach;91;2977.91;Comedy|Fantasy|Romance
Rite Aid Instant Hand Sanitizer With Moisturizers;11822-1000;Plain Radiography of Right Subclavian Vein using High Osmolar Contrast;43;5893.57;Animation|Children|Musical
Atenolol;42254-107;Transfer Facial Nerve to Glossopharyngeal Nerve, Open Approach;6;9680.62;Comedy
Air;50063-003;Restriction of Middle Esophagus with Intraluminal Device, Open Approach;94;2775.94;Comedy|Drama
Necon 0.5/35;42254-287;Insertion of Infusion Device into Left Vertebral Vein, Percutaneous Approach;80;5972.54;Action|Crime|Drama
Eggs and Meats Intolerances;57955-0723;Excision of Right Hand Subcutaneous Tissue and Fascia, Open Approach, Diagnostic;83;7206.64;Horror|Thriller
Carvedilol;55154-1389;Detachment at Right Hindquarter, Open Approach;82;262.44;Romance|Thriller
Night Time Cherry;55910-113;Low Dose Rate (LDR) Brachytherapy of Larynx using Californium 252 (Cf-252);10;4417.97;Drama
procure;55681-211;Destruction of Cervical Spinal Cord, Open Approach;56;2208.4;Comedy
Cleocin Phosphate;0009-0775;Fusion of 2 or more Cervical Vertebral Joints with Synthetic Substitute, Anterior Approach, Anterior Column, Open Approach;30;628.0;Drama|Romance|War
AVAPRO;63629-3373;Dilation of Superior Mesenteric Artery with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach;100;6800.05;(no genres listed)
MAJOR ULTRA STRENGTH GAS RELIEF;0904-5572;Reattachment of Left Hip Tendon, Percutaneous Endoscopic Approach;65;3747.8;Comedy|Romance
COBROXIN;47219-104;Occlusion of Esophagus with Extraluminal Device, Percutaneous Endoscopic Approach;90;9597.93;Comedy|Drama
Cold-EEZE;61941-0227;Beam Radiation of Lung using Electrons;35;8724.88;Comedy|Romance
Sleep Aid;42507-441;Computerized Tomography (CT Scan) of Bilateral Orbits using High Osmolar Contrast;62;2783.0;Drama|Romance
loperamide hydrochloride;41250-645;Bypass Right Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach;67;7464.13;Drama
good sense lice treatment;0113-0955;Removal of Internal Fixation Device from Left Sternoclavicular Joint, Percutaneous Approach;94;2209.86;Children|Comedy|Drama
CAPTOPRIL;33261-182;Magnetic Resonance Imaging (MRI) of Right Ovary using Other Contrast;32;6238.7;Adventure|War
SPAI-SONS;66854-018;Planar Nuclear Medicine Imaging of Bone Marrow using Indium 111 (In-111);31;5414.36;Documentary
Good Neighbor Pharmacy Ibuprofen Cold and Sinus;24385-465;Occlusion of Left Radial Artery with Extraluminal Device, Percutaneous Endoscopic Approach;98;640.81;Drama
topiramate;65841-647;Removal of Synthetic Substitute from Right Tibia, Percutaneous Approach;73;3086.95;Animation|Musical
Hair Regrowth Treatment for Men;55301-094;Reposition Left Foot Muscle, Open Approach;65;4704.44;Comedy
Ibuprofen;55154-0741;Supplement Anus with Nonautologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic;8;9914.5;Horror|Thriller
Topiramate;65862-174;Computerized Tomography (CT Scan) of Head using Other Contrast, Unenhanced and Enhanced;37;6845.02;Comedy|Drama
Zolpidem Tartrate;55154-5080;Replacement of Pelvic Region Subcutaneous Tissue and Fascia with Synthetic Substitute, Open Approach;38;3930.39;Drama|Fantasy|Romance
rexall anti diarrheal;55910-700;Drainage of Right Thorax Tendon, Open Approach;7;4064.65;Drama|Fantasy|Horror|Mystery|Romance
VeraSeptine Multipurpose Moisture Barrier;61598-200;Bypass Right External Iliac Artery to Right Femoral Artery, Percutaneous Endoscopic Approach;82;8972.62;Drama
Zolpidem Tartrate;68084-200;Plain Radiography of Renal Artery Transplant using High Osmolar Contrast;53;6612.97;Horror
Allopurinol;55154-0671;Insertion of Infusion Device into Portal Vein, Percutaneous Approach;65;7273.7;Drama
Topical;50436-9990;Dilation of Left Ulnar Artery with Drug-eluting Intraluminal Device, Open Approach;2;1520.04;Drama
Prax Wipe;0496-0749;Destruction of Bilateral Lungs, Open Approach;95;4623.67;Documentary
antacid;37012-357;Transfusion of Nonautologous Globulin into Peripheral Vein, Percutaneous Approach;45;8918.57;Thriller
Old Spice;37000-385;Excision of Left Mastoid Sinus, Open Approach;67;2139.31;Drama
LivSport;42903-004;Beam Radiation of Abdomen Lymphatics using Electrons, Intraoperative;80;7621.59;Comedy|Musical|Romance
Pollens - Grasses, Johnson Grass Sorghum halepense;65044-1744;Revision of Drainage Device in Sinus, Percutaneous Endoscopic Approach;42;4856.02;Action|Comedy|Mystery|Romance
Rimmel London;59351-0302;Division of Perineum Subcutaneous Tissue and Fascia, Percutaneous Approach;87;3168.96;Comedy|Crime|Romance
Oxygen;10690-001;Repair Right Pulmonary Vein, Percutaneous Endoscopic Approach;45;9025.31;Drama
Zolpidem Tartrate;63739-526;Revision of Interbody Fusion Device in Occipital-cervical Joint, Percutaneous Approach;30;7921.16;Action|Horror
Pioglitazone and Metformin Hydrocholride;42291-693;Reposition Left Shoulder Joint, Percutaneous Endoscopic Approach;57;5300.2;Documentary
Doans;55741-224;Dilation of Left Femoral Artery, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach;17;6231.09;Drama
Motion Medicine;50963-809;Dilation of Coronary Artery, Two Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach;46;3501.76;Children|Fantasy
Antimicrobial Hand Sanitizer;51811-363;Destruction of Inferior Vena Cava, Percutaneous Endoscopic Approach;86;8159.49;Drama
Lidocaine Hydrochloride and Epinephrine;52125-612;Repair Left Vocal Cord, Percutaneous Approach;18;883.88;Comedy
Ciprofloxacin;67296-0579;Bypass Cerebral Ventricle to Intestine with Synthetic Substitute, Open Approach;91;939.95;Animation|Comedy|Drama|Fantasy
COREG;68151-5048;Release Stomach, Pylorus, Via Natural or Artificial Opening;2;2695.24;Drama
Cefdinir;68180-723;Reattachment of Left Foot Bursa and Ligament, Percutaneous Endoscopic Approach;78;1074.01;
Namenda;63629-5291;Excision of Right Shoulder Tendon, Percutaneous Endoscopic Approach;4;5384.02;Drama
Salmon;36987-1246;Replacement of Aortic Valve using Zooplastic Tissue, Rapid Deployment Technique, Percutaneous Approach, New Technology Group 2;45;3898.91;Drama|Fantasy|Mystery|Romance
SkinTx Acne Treatment;67226-2050;Excision of Urethra, Percutaneous Endoscopic Approach;23;1561.11;Action|Comedy
Ibuprofen;30142-121;Excision of Anus, External Approach;36;8931.81;Drama|Romance
Naproxen;24236-995;Introduction of Oxazolidinones into Mouth and Pharynx, Via Natural or Artificial Opening;31;2532.81;Drama
Metolazone;63739-404;Dilation of Left Thyroid Artery with Three Intraluminal Devices, Percutaneous Endoscopic Approach;40;3819.82;Western
Hepar Sulphuris Calcareum 30c;76472-1144;Extirpation of Matter from Left Wrist Joint, Percutaneous Endoscopic Approach;33;2543.76;Documentary
Bupropion Hydrochloride;67046-044;Drainage of Right Axillary Vein with Drainage Device, Percutaneous Approach;88;608.1;Animation|Comedy
equaline miconazole 1;41163-916;Excision of Left Internal Mammary Artery, Percutaneous Approach;24;5954.1;Documentary|Musical
Suphedrine PE Sinus and Allergy;55301-462;Dilation of Intracranial Artery, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach;63;4610.18;Drama
Reglan;62559-166;Replacement of Face Artery with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;49;6475.21;Action|Comedy|Horror|Sci-Fi
HydrALAZINE Hydrochloride;59556-008;Destruction of Anal Sphincter, Percutaneous Endoscopic Approach;81;3396.13;
BUTALBITAL, ACETAMINOPHEN AND CAFFEINE;16590-581;Introduction of Platelet Inhibitor into Peripheral Artery, Percutaneous Approach;21;4054.48;Drama|War
Melaleuca Pollen;49643-380;Mental Health, Biofeedback;69;2422.69;Comedy|Romance|Sci-Fi|Thriller
LEVOXYL;54868-4536;Release Left Ethmoid Sinus, Open Approach;85;9120.78;Drama
Zanosar;0703-4636;Supplement Left Tympanic Membrane with Autologous Tissue Substitute, Open Approach;8;2040.85;Drama|Romance
ELIGARD;0024-0610;Supplement Left Lower Arm and Wrist Tendon with Nonautologous Tissue Substitute, Open Approach;24;6448.7;Drama
MERCURIUS VIVUS;54973-0620;Division of Right Upper Femur, Open Approach;24;3430.95;
Influenza Remedy;57520-0920;Dilation of Left Brachial Artery with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach;16;1166.36;Drama
Pineapple Orange Antibacterial Foaming Hand Wash;43269-670;Extirpation of Matter from Buccal Mucosa, Percutaneous Approach;99;9504.23;Documentary
CARBO VEGETABILIS;60512-1011;Supplement Left Elbow Joint with Autologous Tissue Substitute, Open Approach;20;5392.27;
Halls;12546-223;Bypass Transverse Colon to Cutaneous with Autologous Tissue Substitute, Percutaneous Endoscopic Approach;1;6993.07;Documentary
LBEL EFFET PARFAIT Polvos Compactos de Larga Duracion para rostro FPS 15 /Long Lasting Compact SPF 15;13537-408;Restriction of Right Internal Carotid Artery with Intraluminal Device, Open Approach;82;7382.97;Drama|Mystery|Romance|Thriller
Promethazine Hydrochloride;54569-1754;Supplement Right Buttock with Synthetic Substitute, Percutaneous Endoscopic Approach;40;5951.22;Drama
IBUPROFEN;12634-171;Occlusion of Left Face Vein with Extraluminal Device, Percutaneous Endoscopic Approach;48;6142.59;Documentary|War
Aciphex;54868-4185;Drainage of Left Thorax Tendon, Percutaneous Endoscopic Approach, Diagnostic;11;4116.13;Crime|Film-Noir|Mystery|Thriller
DG Health cold multi symptom;55910-014;Release Left Shoulder Muscle, External Approach;10;9499.53;Drama
Famotidine;49349-546;Fusion of Left Metacarpophalangeal Joint, Percutaneous Endoscopic Approach;89;4097.94;Comedy
TUMS;0135-0140;Fluoroscopy of Right Humerus;22;6044.61;Comedy|Musical
Alprazolam;33261-500;Excision of Cervix, Via Natural or Artificial Opening Endoscopic, Diagnostic;88;2637.24;Children|Comedy|Romance
Furosemide;67253-541;Insertion of Infusion Device into Right Renal Vein, Percutaneous Endoscopic Approach;64;1774.4;Comedy|Crime
Womens Mitchum Clinical Antiperspirant Deodorant;10967-595;Repair Hymen, Open Approach;4;405.58;Drama|Western
Air;12213-700;Insertion of Internal Fixation Device into Left Rib, Open Approach;16;9381.88;
